date,store_id,total_stock,average_price,dayofweek,quarter,month,year,dayofyear,dayofmonth,weekofyear,total_revenue_lag_7,rolling_mean_7,rolling_median_7,rolling_min_7,rolling_max_7,rolling_std_7
2019-10-07,121,6462.0,12.8710027100271,0,4,10,2019,280,7,41,1802.39,1251.3442857142857,1068.36,572.84,2209.7300000000005,563.4750864311311
2019-10-07,93,9797.0,17.414676339285723,0,4,10,2019,280,7,41,2209.7300000000005,1078.92,1017.88,572.84,1801.23,374.21140811934885
2019-10-07,111,4435.0,15.668296836982977,0,4,10,2019,280,7,41,885.98,1069.6057142857142,1017.88,572.84,1801.23,380.5715421948554
2019-10-07,29,5123.0,12.964058679706604,0,4,10,2019,280,7,41,1801.23,958.1057142857144,1017.88,572.84,1203.3899999999999,203.75523812138903
2019-10-07,144,10118.0,18.022550790067722,0,4,10,2019,280,7,41,572.84,954.4085714285715,1017.88,546.96,1203.3899999999999,211.97980567564662
2019-10-14,125,12864.0,17.63023898431662,0,4,10,2019,287,14,42,1068.36,1084.7057142857143,1017.88,546.96,1980.44,445.4448664671127
2019-10-14,44,3908.0,11.39739495798319,0,4,10,2019,287,14,42,1203.3899999999999,962.7914285714287,1002.7600000000002,349.99,1980.44,518.363827198251
2019-10-14,140,6002.0,12.476930022573368,0,4,10,2019,287,14,42,1017.88,902.5642857142858,820.7800000000002,349.99,1980.44,535.1173904498937
2019-10-14,29,5001.0,13.711488833746904,0,4,10,2019,287,14,42,1002.7600000000002,909.5785714285714,820.7800000000002,349.99,1980.44,536.9682419357948
2019-10-14,137,8823.0,16.709166666666672,0,4,10,2019,287,14,42,820.7800000000002,988.867142857143,1020.73,349.99,1980.44,562.0616585901781
2019-10-14,54,5435.0,14.471726804123717,0,4,10,2019,287,14,42,1020.73,977.3457142857143,940.0800000000002,349.99,1980.44,562.1262593598559
2019-10-14,81,4980.0,14.959160839160846,0,4,10,2019,287,14,42,546.96,995.37,940.0800000000002,349.99,1980.44,547.8681110145633
2019-10-14,111,4614.0,15.903656174334149,0,4,10,2019,287,14,42,1980.44,810.3185714285713,685.0799999999999,349.99,1375.8,338.41925750113325
2019-10-14,103,9129.0,16.573262092238476,0,4,10,2019,287,14,42,349.99,976.0471428571428,940.0800000000002,596.2900000000002,1510.0900000000001,358.85965361193144
2019-10-14,121,6293.0,13.38631016042781,0,4,10,2019,287,14,42,596.2900000000002,1029.5328571428572,970.6900000000003,673.1299999999999,1510.0900000000001,318.45189745152317
2019-10-14,74,4187.0,18.430120192307704,0,4,10,2019,287,14,42,1051.86,1103.8200000000002,970.6900000000003,673.1299999999999,1571.87,379.35706223380885
2019-10-14,35,9571.0,14.694040268456387,0,4,10,2019,287,14,42,1375.8,1097.1528571428573,970.6900000000003,673.1299999999999,1571.87,374.15482627357454
2019-10-14,34,4570.0,14.115514285714289,0,4,10,2019,287,14,42,940.0800000000002,1054.4614285714285,970.6900000000003,641.24,1571.87,410.3611719135778
2019-10-14,27,11002.0,13.719423529411776,0,4,10,2019,287,14,42,673.1299999999999,1101.3357142857144,1001.25,641.24,1571.87,376.92067148836145
2019-10-14,4,8501.0,17.14666298342542,0,4,10,2019,287,14,42,685.0799999999999,1205.2242857142858,1329.13,641.24,1571.87,341.6370578970769
2019-10-14,93,9663.0,18.132345132743367,0,4,10,2019,287,14,42,1510.0900000000001,1134.6885714285715,1016.34,641.24,1571.87,318.381960514335
2019-10-14,144,10531.0,18.297670329670332,0,4,10,2019,287,14,42,970.6900000000003,1117.6414285714286,1016.34,641.24,1571.87,331.5488272451257
2019-10-14,98,6133.0,12.631487804878052,0,4,10,2019,287,14,42,1571.87,1036.757142857143,1005.6800000000001,641.24,1412.3,264.56367908402575
2019-10-14,128,4666.0,15.078401937046012,0,4,10,2019,287,14,42,1329.13,1046.9514285714286,1005.6800000000001,641.24,1412.3,278.70410871439424
2019-10-21,81,5600.0,15.224894117647068,0,4,10,2019,294,21,43,641.24,1026.8014285714287,1005.6800000000001,500.19000000000005,1412.3,315.5841198702572
2019-10-21,140,6303.0,12.772063492063499,0,4,10,2019,294,21,43,1001.25,941.4828571428573,1005.6800000000001,404.02,1412.3,394.5058179002459
2019-10-21,128,4670.0,15.42554761904763,0,4,10,2019,294,21,43,1412.3,930.8257142857144,1005.6800000000001,404.02,1400.4900000000002,380.4237246307122
2019-10-21,4,8641.0,17.577310647639962,0,4,10,2019,294,21,43,1016.34,998.7385714285714,1005.6800000000001,404.02,1491.7300000000002,436.52970366396784
2019-10-21,137,8802.0,17.0603687150838,0,4,10,2019,294,21,43,851.3600000000001,1029.7128571428573,1068.1799999999998,404.02,1491.7300000000002,431.99824790208976
